ID,job,marital,education,default,housing,loan,contact,month,poutcome,label
CLIENT0,unemployed,married,primary,no,no,no,cellular,oct,unknown,no
CLIENT1,services,married,secondary,no,yes,yes,cellular,may,failure,no
CLIENT2,management,single,tertiary,no,yes,no,cellular,apr,failure,no
CLIENT3,management,married,tertiary,no,yes,yes,unknown,jun,unknown,no
CLIENT4,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT5,management,single,tertiary,no,no,no,cellular,feb,failure,no
CLIENT6,self-employed,married,tertiary,no,yes,no,cellular,may,other,no
CLIENT7,technician,married,secondary,no,yes,no,cellular,may,unknown,no
CLIENT8,entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT9,services,married,primary,no,yes,yes,cellular,apr,failure,no
CLIENT10,services,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT11,admin.,married,secondary,no,yes,no,cellular,apr,unknown,no
CLIENT12,technician,married,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT13,student,single,secondary,no,no,no,cellular,apr,unknown,yes
CLIENT14,blue-collar,married,secondary,no,yes,yes,cellular,jan,failure,no
CLIENT15,management,married,tertiary,no,no,yes,cellular,aug,unknown,no
CLIENT16,technician,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT17,admin.,single,tertiary,no,yes,no,cellular,apr,failure,no
CLIENT18,blue-collar,single,primary,no,yes,no,unknown,may,unknown,no
CLIENT19,services,married,secondary,no,no,no,cellular,jul,other,no
CLIENT20,management,divorced,unknown,no,yes,no,cellular,nov,unknown,no
CLIENT21,management,divorced,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT22,services,single,secondary,no,no,no,unknown,jun,unknown,no
CLIENT23,entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,no
CLIENT24,housemaid,married,tertiary,no,no,no,cellular,jan,unknown,no
CLIENT25,management,married,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT26,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
CLIENT27,retired,married,unknown,no,no,no,telephone,aug,failure,no
CLIENT28,self-employed,married,secondary,no,no,yes,cellular,jul,unknown,no
CLIENT29,admin.,married,secondary,no,no,yes,cellular,aug,unknown,no
CLIENT30,retired,divorced,secondary,no,no,no,telephone,jul,unknown,yes
CLIENT31,technician,married,secondary,no,no,no,cellular,aug,unknown,no
CLIENT32,management,married,secondary,no,no,no,cellular,nov,unknown,no
CLIENT33,management,single,tertiary,no,yes,no,cellular,aug,unknown,yes
CLIENT34,technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
CLIENT35,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,no
CLIENT36,retired,divorced,primary,no,no,no,telephone,oct,unknown,yes
CLIENT37,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,yes
CLIENT38,management,married,secondary,no,yes,no,cellular,may,failure,yes
CLIENT39,services,single,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT40,management,single,tertiary,no,yes,no,unknown,nov,failure,no
CLIENT41,management,single,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT42,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
CLIENT43,technician,married,tertiary,no,yes,no,cellular,may,unknown,no
CLIENT44,technician,single,tertiary,no,yes,no,cellular,nov,unknown,no
CLIENT45,management,single,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT46,blue-collar,married,primary,no,no,no,telephone,feb,other,no
CLIENT47,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
CLIENT48,entrepreneur,single,primary,yes,yes,yes,cellular,feb,unknown,no
CLIENT49,admin.,married,unknown,no,yes,no,cellular,jan,success,yes
CLIENT50,blue-collar,divorced,primary,no,no,no,unknown,jun,unknown,yes
CLIENT51,technician,single,secondary,no,yes,no,cellular,aug,unknown,no
CLIENT52,technician,single,secondary,no,no,no,cellular,aug,unknown,no
CLIENT53,technician,married,tertiary,no,yes,no,cellular,jun,other,yes
CLIENT54,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT55,admin.,married,secondary,no,yes,no,telephone,jul,unknown,no
CLIENT56,management,married,secondary,no,no,yes,telephone,feb,unknown,no
CLIENT57,self-employed,single,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT58,retired,single,secondary,no,yes,yes,unknown,may,unknown,no
CLIENT59,technician,divorced,secondary,no,yes,yes,unknown,may,unknown,no
CLIENT60,blue-collar,married,primary,no,no,yes,telephone,jul,unknown,no
CLIENT61,retired,married,secondary,no,yes,no,cellular,oct,unknown,no
CLIENT62,management,married,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT63,services,married,secondary,no,no,no,cellular,jul,unknown,no
CLIENT64,admin.,married,secondary,no,no,no,cellular,oct,unknown,no
CLIENT65,blue-collar,divorced,secondary,no,yes,no,cellular,may,failure,no
CLIENT66,services,married,secondary,no,yes,no,cellular,jan,unknown,no
CLIENT67,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
CLIENT68,management,married,secondary,no,no,yes,cellular,jul,unknown,no
CLIENT69,technician,single,tertiary,no,no,no,cellular,nov,unknown,no
CLIENT70,management,married,tertiary,no,no,no,cellular,jul,success,yes
CLIENT71,entrepreneur,divorced,tertiary,yes,yes,no,unknown,may,unknown,no
CLIENT72,management,single,tertiary,no,yes,no,unknown,may,unknown,no
CLIENT73,services,married,tertiary,no,yes,no,unknown,jun,unknown,no
CLIENT74,retired,married,secondary,no,yes,no,unknown,may,unknown,no
CLIENT75,management,divorced,tertiary,no,no,no,cellular,aug,unknown,no
CLIENT76,blue-collar,divorced,secondary,no,yes,no,cellular,may,other,no
CLIENT77,technician,single,secondary,no,no,yes,cellular,aug,unknown,no
CLIENT78,blue-collar,divorced,primary,no,no,no,cellular,feb,unknown,no
CLIENT79,unemployed,married,secondary,no,yes,no,cellular,nov,failure,no
CLIENT80,admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,yes
