ID,school,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,label
STUDENT0,GP,F,U,GT3,A,high,high,at_home,teacher,course,mother,medium,medium,none,yes,no,no,no,yes,yes,no,no,good,mediocre,good,very_bad,very_bad,mediocre,four_to_six,D
STUDENT1,GP,F,U,GT3,T,low,low,at_home,other,course,father,low,medium,none,no,yes,no,no,no,yes,yes,no,excellent,mediocre,mediocre,very_bad,very_bad,mediocre,one_to_three,D
STUDENT2,GP,F,U,LE3,T,low,low,at_home,other,other,mother,low,medium,none,yes,no,no,no,yes,yes,yes,no,good,mediocre,bad,bad,mediocre,mediocre,four_to_six,C
STUDENT3,GP,F,U,GT3,T,high,mid,health,services,home,mother,low,high,none,no,yes,no,yes,yes,yes,yes,yes,mediocre,bad,bad,very_bad,very_bad,excellent,none,B
STUDENT4,GP,F,U,GT3,T,mid,mid,other,other,home,father,low,medium,none,no,yes,no,no,yes,yes,no,no,good,mediocre,bad,very_bad,bad,excellent,none,C
STUDENT5,GP,M,U,LE3,T,high,mid,services,other,reputation,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,excellent,good,bad,very_bad,bad,excellent,four_to_six,C
STUDENT6,GP,M,U,LE3,T,mid,mid,other,other,home,mother,low,medium,none,no,no,no,no,yes,yes,yes,no,good,good,good,very_bad,very_bad,mediocre,none,C
STUDENT7,GP,F,U,GT3,A,high,high,other,teacher,home,mother,medium,medium,none,yes,yes,no,no,yes,yes,no,no,good,very_bad,good,very_bad,very_bad,very_bad,one_to_three,C
STUDENT8,GP,M,U,LE3,A,mid,mid,services,other,home,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,good,bad,bad,very_bad,very_bad,very_bad,none,A
STUDENT9,GP,M,U,GT3,T,mid,high,other,other,home,mother,low,medium,none,no,yes,no,yes,yes,yes,yes,no,excellent,excellent,very_bad,very_bad,very_bad,excellent,none,C
STUDENT10,GP,F,U,GT3,T,high,high,teacher,health,reputation,mother,low,medium,none,no,yes,no,no,yes,yes,yes,no,mediocre,mediocre,mediocre,very_bad,bad,bad,one_to_three,B
STUDENT11,GP,F,U,GT3,T,mid,low,services,other,reputation,father,high,high,none,no,yes,no,yes,yes,yes,yes,no,excellent,bad,bad,very_bad,very_bad,good,none,C
STUDENT12,GP,M,U,LE3,T,high,high,health,services,course,father,low,low,none,no,yes,no,yes,yes,yes,yes,no,good,mediocre,mediocre,very_bad,mediocre,excellent,none,C
STUDENT13,GP,M,U,GT3,T,high,mid,teacher,other,course,mother,medium,medium,none,no,yes,no,no,yes,yes,yes,no,excellent,good,mediocre,very_bad,bad,mediocre,none,C
STUDENT14,GP,M,U,GT3,A,mid,mid,other,other,home,other,low,high,none,no,yes,no,no,yes,yes,yes,yes,good,excellent,bad,very_bad,very_bad,mediocre,none,B
STUDENT15,GP,F,U,GT3,T,high,high,health,other,home,mother,low,low,none,no,yes,no,no,yes,yes,yes,no,good,good,good,very_bad,bad,bad,four_to_six,A
STUDENT16,GP,F,U,GT3,T,high,high,services,services,reputation,mother,low,high,none,no,yes,no,yes,yes,yes,yes,no,mediocre,bad,mediocre,very_bad,bad,bad,more_than_ten,B
STUDENT17,GP,F,U,GT3,T,mid,mid,other,other,reputation,mother,high,medium,none,yes,yes,no,yes,yes,yes,no,no,excellent,mediocre,bad,very_bad,very_bad,good,one_to_three,B
STUDENT18,GP,M,U,GT3,T,mid,mid,services,services,course,mother,low,low,high,no,yes,yes,yes,yes,yes,yes,no,excellent,excellent,excellent,bad,good,excellent,one_to_three,F
STUDENT19,GP,M,U,LE3,T,high,mid,health,other,home,father,low,low,none,no,no,no,yes,yes,yes,yes,no,mediocre,very_bad,mediocre,very_bad,mediocre,excellent,four_to_six,C
STUDENT20,GP,M,U,GT3,T,high,mid,teacher,other,reputation,mother,low,medium,none,no,no,no,no,yes,yes,yes,no,good,good,very_bad,very_bad,very_bad,very_bad,none,B
STUDENT21,GP,M,U,GT3,T,high,high,health,health,other,father,low,low,none,no,yes,yes,no,yes,yes,yes,no,excellent,good,bad,very_bad,very_bad,excellent,none,C
STUDENT22,GP,M,U,LE3,T,high,mid,teacher,other,course,mother,low,medium,none,no,no,no,yes,yes,yes,yes,no,good,excellent,very_bad,very_bad,mediocre,excellent,none,B
STUDENT23,GP,M,U,LE3,T,mid,mid,other,other,reputation,mother,medium,medium,none,no,yes,no,yes,yes,yes,yes,no,excellent,good,good,bad,good,excellent,one_to_three,D
STUDENT24,GP,F,R,GT3,T,mid,high,services,health,course,mother,low,high,none,yes,yes,no,yes,yes,yes,yes,no,good,mediocre,bad,very_bad,very_bad,excellent,one_to_three,D
STUDENT25,GP,F,U,GT3,T,mid,mid,services,services,home,mother,low,low,none,no,yes,no,no,no,yes,yes,no,very_bad,bad,bad,very_bad,mediocre,excellent,four_to_six,C
STUDENT26,GP,M,U,GT3,T,mid,mid,other,other,home,mother,low,low,none,no,yes,no,no,yes,yes,yes,no,good,bad,bad,very_bad,bad,excellent,more_than_ten,C
STUDENT27,GP,M,U,GT3,T,high,mid,health,services,other,mother,low,low,none,no,no,no,no,yes,yes,yes,no,bad,bad,good,bad,good,very_bad,none,D
STUDENT28,GP,M,U,LE3,A,mid,high,services,other,home,mother,low,medium,none,yes,yes,yes,yes,yes,yes,yes,no,excellent,mediocre,mediocre,very_bad,very_bad,excellent,one_to_three,C
STUDENT29,GP,M,U,GT3,T,high,high,teacher,teacher,home,mother,low,medium,none,no,yes,yes,yes,yes,yes,yes,yes,good,good,excellent,excellent,excellent,excellent,four_to_six,C
STUDENT30,GP,M,U,GT3,T,high,high,health,services,home,mother,low,medium,none,no,yes,yes,no,no,yes,yes,no,excellent,good,bad,mediocre,good,excellent,none,D
